id,x_pixel,y_pixel,z_normalized,z_depth,class
15,380,194,-0.1633424609899521,5740,1
16,373,175,-0.1576513350009918,5845,1
17,371,274,-0.0954010859131813,5212,1
18,385,234,-0.1273856163024902,5712,1
19,381,207,-0.1312526911497116,5739,1
20,375,191,-0.1305547058582306,5731,1
0,513,329,3.316979473311221e-07,9069,1
1,533,315,-0.0374781191349029,9226,1
2,544,304,-0.0730541422963142,9409,1
3,535,285,-0.099676676094532,9580,1
4,529,264,-0.1293322890996933,9816,1
5,531,359,-0.1279964596033096,8780,1
6,539,309,-0.1738727837800979,9335,1
7,539,267,-0.1991174966096878,9946,1
8,538,234,-0.2159738093614578,0,1
9,506,368,-0.1297174394130706,8639,1
10,518,313,-0.182832732796669,9204,1
11,519,266,-0.2058043777942657,9745,1
12,519,233,-0.2236144244670868,0,1
13,485,364,-0.1286138594150543,8660,1
14,489,315,-0.1758337318897247,0,1
15,494,273,-0.1912681758403778,0,1
16,498,243,-0.2002461850643158,10067,1
17,467,351,-0.1277982294559478,8679,1
18,468,313,-0.1641679406166076,0,1
19,472,284,-0.1765117049217224,0,1
20,477,262,-0.1863097250461578,0,1
0,477,320,1.481266593827968e-07,9126,1
1,505,283,0.035618919879198,9584,1
2,507,248,0.0290132872760295,10043,1
3,496,224,0.0249017626047134,10320,1
4,485,200,0.0178129952400922,10630,1
5,512,241,-0.0824389606714248,10192,1
6,500,196,-0.074372224509716,0,1
7,493,174,-0.0413107387721538,0,1
8,487,160,-0.0140372542664408,0,1
9,485,249,-0.0947589576244354,10009,1
10,474,195,-0.0832328125834465,10736,1
11,471,175,-0.0332811921834945,0,1
12,470,170,0.0033554229885339,0,1
13,459,255,-0.0956563577055931,8527,1
14,451,205,-0.0750999450683593,10814,1
15,453,188,-0.0261632967740297,10838,1
16,457,181,0.0051070405170321,10827,1
17,437,260,-0.0917202159762382,3493,1
18,435,222,-0.0715159773826599,3595,1
19,439,205,-0.039670355618,8832,1
20,443,199,-0.0161971896886825,10774,1
0,398,175,5.022163236390043e-07,0,1
1,413,163,-0.1088007688522338,0,1
2,406,157,-0.1840589493513107,0,1
3,385,140,-0.2335768193006515,6059,1
4,365,126,-0.2787373960018158,6177,1
5,389,222,-0.2347266525030136,0,1
6,368,165,-0.3059887588024139,0,1
7,363,119,-0.3302600979804992,6607,1
8,360,92,-0.3426781892776489,6601,1
9,367,228,-0.201622650027275,0,1
10,351,169,-0.2742133140563965,0,1
11,353,120,-0.2838119864463806,6466,1
12,355,89,-0.2880025506019592,6523,1
13,346,222,-0.1684821099042892,3254,1
14,335,168,-0.2302064448595047,3166,1
15,339,124,-0.2293055206537246,6306,1
16,343,96,-0.2240702658891677,6419,1
17,330,209,-0.1415724605321884,3193,1
18,324,166,-0.186992809176445,3148,1
19,327,131,-0.1937609016895294,6206,1
20,329,107,-0.1945691108703613,6415,1
0,268,276,-4.957685746376228e-07,3894,1
1,254,236,-0.0284235291182994,3487,1
2,268,194,-0.0497446432709693,0,1
3,292,163,-0.0609599612653255,3548,1
4,307,142,-0.0724013447761535,6305,1
5,289,221,-0.1061713248491287,3421,1
6,317,162,-0.1295559704303741,0,1
7,322,129,-0.1295576989650726,6160,1
8,327,108,-0.1257669031620025,6112,1
9,313,239,-0.0944681465625763,3600,1
10,345,172,-0.1152938455343246,5704,1
11,341,138,-0.1049876064062118,5890,1
12,333,120,-0.0956520438194274,5943,1
13,331,249,-0.0784912258386612,4974,1
14,356,188,-0.0944221019744873,5462,1
15,346,160,-0.082515612244606,5786,1
16,336,148,-0.0718037560582161,5892,1
17,345,254,-0.0628515779972076,4919,1
18,357,206,-0.0720060914754867,5252,1
19,347,187,-0.0641380250453949,5574,1
20,338,181,-0.0560583434998989,5630,1
0,237,256,-4.186761657365423e-07,3446,1
1,215,216,-0.0556274205446243,3148,1
2,227,168,-0.088345967233181,0,1
3,259,137,-0.1048239022493362,2985,1
4,284,124,-0.1197672709822654,3036,1
5,256,214,-0.140254333615303,3017,1
6,278,142,-0.1747667044401168,3016,1
7,287,101,-0.182955265045166,4718,1
8,298,71,-0.1870849877595901,4753,1
9,292,224,-0.1201824098825454,3182,1
10,312,142,-0.1520199924707412,0,1
11,314,96,-0.1518296748399734,4803,1
12,313,66,-0.1526078283786773,4826,1
13,317,225,-0.097673088312149,4662,1
14,329,149,-0.1234867721796035,4654,1
15,327,106,-0.1219319626688957,4691,1
16,323,76,-0.1210300624370575,4825,1
17,331,221,-0.0778287053108215,4639,1
18,336,162,-0.0988674089312553,4661,1
19,331,128,-0.1026460751891136,4660,1
20,327,105,-0.1048652529716491,4695,1
0,368,270,6.647654799962766e-07,4342,1
1,390,228,-0.0114624397829175,5548,1
2,384,184,-0.0178674161434173,5383,1
3,362,157,-0.0175968408584594,5190,1
4,342,147,-0.0163775868713855,5121,1
5,346,181,-0.0417962782084941,5105,1
6,348,132,-0.0433635748922824,5163,1
7,349,111,-0.0398087576031684,5224,1
8,348,95,-0.0364494919776916,5320,1
9,318,189,-0.0349923893809318,3580,1
10,323,134,-0.0326031297445297,0,1
11,330,109,-0.0260176435112953,5203,1
12,334,93,-0.0218438506126403,5317,1
13,300,197,-0.0256358105689287,3600,1
14,304,148,-0.0209917966276407,3898,1
15,314,126,-0.0201372485607862,5096,1
16,322,113,-0.0219880286604166,5172,1
17,293,205,-0.0161801595240831,3610,1
18,305,172,-0.0128264650702476,3657,1
19,321,162,-0.0100374845787882,3718,1
20,333,157,-0.0085604451596736,0,1
0,248,266,-2.2683232714371118e-07,3085,1
1,224,233,-0.0471956767141819,2919,1
2,218,204,-0.0888789594173431,3146,1
3,236,180,-0.1241568773984909,5019,1
4,264,166,-0.1613582074642181,2788,1
5,228,260,-0.1190610006451606,3012,1
6,259,208,-0.170238047838211,2863,1
7,280,170,-0.2010720074176788,2799,1
8,295,145,-0.2170716822147369,4719,1
9,261,275,-0.1149191483855247,3179,1
10,288,213,-0.159347578883171,2953,1
11,305,171,-0.1673864871263504,0,1
12,317,142,-0.1726050078868866,4652,1
13,287,278,-0.1101070120930671,4793,1
14,309,221,-0.1484836935997009,0,1
15,320,184,-0.1422197520732879,0,1
16,325,157,-0.1342812776565551,4650,1
17,306,274,-0.1094599738717079,4741,1
18,324,228,-0.1337016820907592,4672,1
19,326,199,-0.1268250048160553,4652,1
20,325,176,-0.1200685799121856,4525,1
0,282,370,-2.3548972194475937e-07,5284,1
1,242,340,-0.0420532301068306,2979,1
2,233,288,-0.064579851925373,2558,1
3,253,245,-0.070533700287342,2578,1
4,271,222,-0.0736935213208198,2626,1
5,264,302,-0.1320649832487106,2626,1
6,272,228,-0.1507514715194702,2615,1
7,269,189,-0.1387590318918228,2864,1
8,265,165,-0.1273561120033264,5959,1
9,301,306,-0.1129869893193245,0,1
10,304,222,-0.1409120857715606,0,1
11,291,183,-0.1303713917732238,0,1
12,277,162,-0.1181500330567359,6045,1
13,327,304,-0.0889855250716209,5424,1
14,326,230,-0.1110822856426239,0,1
15,312,194,-0.1054133176803588,5738,1
16,300,173,-0.0976196974515914,5913,1
17,344,301,-0.0651814639568328,5458,1
18,329,247,-0.0814671665430069,0,1
19,314,221,-0.0815882980823516,0,1
20,303,206,-0.0785327404737472,0,1
0,266,244,-1.0287967455724357e-07,3340,1
1,239,220,-0.0554986484348773,3150,1
2,221,199,-0.1025924235582351,3149,1
3,222,179,-0.1388169527053833,0,1
4,236,157,-0.1762779653072357,6149,1
5,204,263,-0.1603056043386459,3289,1
6,209,216,-0.2201416939496994,3148,1
7,221,183,-0.2497788667678833,3187,1
8,232,159,-0.2685906589031219,6099,1
9,230,279,-0.1565100401639938,3335,1
10,240,224,-0.2267961949110031,3198,1
11,245,184,-0.2528048157691955,3185,1
12,250,156,-0.2713091671466827,6230,1
13,261,279,-0.1514230817556381,0,1
14,265,227,-0.2161578387022018,3291,1
15,269,190,-0.2347938269376754,0,1
16,270,166,-0.243588387966156,6113,1
17,290,274,-0.1479358226060867,5208,1
18,290,232,-0.1948344260454177,0,1
19,290,203,-0.2106257975101471,0,1
20,290,182,-0.2225184738636016,5651,1
0,373,276,7.319041515074787e-07,4552,1
1,379,256,-0.0685761794447898,4918,1
2,376,231,-0.1194932088255882,5653,1
3,364,204,-0.1546406745910644,5528,1
4,346,184,-0.1860589236021042,5137,1
5,350,280,-0.1536070853471756,4465,1
6,352,224,-0.2089435756206512,0,1
7,349,188,-0.234263390302658,5146,1
8,344,162,-0.248897910118103,5139,1
9,331,291,-0.1372014880180359,5263,1
10,333,230,-0.1917812675237655,0,1
11,329,189,-0.2051541060209274,0,1
12,323,160,-0.2149821817874908,5027,1
13,317,290,-0.1220290139317512,4935,1
14,317,231,-0.1692403703927993,3312,1
15,313,190,-0.1795054674148559,3252,1
16,307,160,-0.1850683689117431,4991,1
17,308,279,-0.1110590770840644,3458,1
18,303,231,-0.146008163690567,3329,1
19,303,200,-0.1589367389678955,3258,1
20,300,179,-0.167805328965187,3138,1
0,246,279,6.083080847929523e-07,3348,1
1,212,257,-0.0341922901570797,3214,1
2,199,220,-0.0666776299476623,3190,1
3,209,185,-0.0895152166485786,6681,1
4,225,160,-0.1112842187285423,5999,1
5,203,279,-0.129162460565567,3289,1
6,222,221,-0.1717779487371444,3139,1
7,237,181,-0.1861854940652847,3224,1
8,249,159,-0.1900199055671692,6184,1
9,233,292,-0.1255850940942764,0,1
10,246,226,-0.1667588055133819,3218,1
11,256,179,-0.169239267706871,6040,1
12,259,156,-0.1694168448448181,6106,1
13,262,293,-0.1190231218934059,5143,1
14,271,229,-0.1515258252620697,0,1
15,275,185,-0.1501568108797073,0,1
16,273,163,-0.1458117216825485,6066,1
17,287,285,-0.1132902428507804,5131,1
18,289,232,-0.1363122761249542,5356,1
19,288,197,-0.1386784166097641,5505,1
20,282,176,-0.1385907083749771,5609,1
0,269,353,-1.2622909650872316e-07,5432,1
1,230,321,-0.0365551710128784,2940,1
2,222,273,-0.0582186318933963,2585,1
3,244,232,-0.0650196969509124,2660,1
4,264,207,-0.0689182952046394,2668,1
5,256,279,-0.1235875412821769,2622,1
6,271,205,-0.1404777020215988,2716,1
7,273,171,-0.1257363855838775,6039,1
8,274,150,-0.1111741811037063,6262,1
9,292,286,-0.1068412885069847,2932,1
10,303,203,-0.132522165775299,0,1
11,298,166,-0.1185175031423568,6102,1
12,291,145,-0.1028208881616592,6314,1
13,319,288,-0.0852921232581138,0,1
14,325,215,-0.1062787696719169,0,1
15,317,179,-0.0956614688038826,5902,1
16,309,158,-0.0830712914466857,6172,1
17,335,289,-0.0635610967874527,5572,1
18,325,236,-0.0777662098407745,0,1
19,313,210,-0.0734938010573387,0,1
20,305,195,-0.0657509639859199,0,1
0,251,288,1.9637596437860338e-07,3342,1
1,221,260,-0.0544767007231712,3225,1
2,206,231,-0.1050571426749229,0,1
3,210,199,-0.1486832052469253,0,1
4,225,176,-0.1917915791273117,5856,1
5,206,284,-0.1293760687112808,3279,1
6,224,227,-0.1894451528787613,3172,1
7,242,189,-0.2230253517627716,3258,1
8,253,168,-0.2416718900203704,6088,1
9,237,299,-0.1276344060897827,0,1
10,254,235,-0.1850129961967468,3237,1
11,265,194,-0.197350338101387,3296,1
12,272,169,-0.2038734257221222,6065,1
13,264,302,-0.1271354854106903,5171,1
14,277,238,-0.1757461726665496,3443,1
15,281,199,-0.1725038737058639,0,1
16,281,174,-0.1648652106523513,5900,1
17,286,296,-0.1314872801303863,5041,1
18,296,245,-0.1612308919429779,5373,1
19,294,213,-0.1584766209125518,0,1
20,289,189,-0.1538237631320953,5608,1
0,294,364,-3.904347920524742e-07,5276,1
1,255,328,-0.0213389322161674,2989,1
2,251,276,-0.0322536714375019,2623,1
3,272,232,-0.0315505489706993,2677,1
4,289,207,-0.0286909658461809,2760,1
5,291,275,-0.0931233540177345,2687,1
6,303,205,-0.0975325927138328,2891,1
7,300,175,-0.0771679058670997,6005,1
8,294,160,-0.0595378652215004,6121,1
9,327,281,-0.078204222023487,0,1
10,334,202,-0.0883533433079719,5697,1
11,321,171,-0.0688393115997314,5982,1
12,307,155,-0.0514896512031555,6159,1
13,351,285,-0.0578633733093738,5599,1
14,355,215,-0.0655847564339637,5572,1
15,342,184,-0.0543118007481098,5838,1
16,327,166,-0.0442151166498661,6068,1
17,363,289,-0.0363764613866806,5560,1
18,350,240,-0.0395245887339115,5514,1
19,334,220,-0.0340186767280101,0,1
20,320,209,-0.027733800932765,0,1
0,387,318,4.2628045093806584e-08,0,1
1,427,299,-0.0449229478836059,9601,1
2,453,265,-0.0952798873186111,0,1
3,447,224,-0.131205752491951,10540,1
4,429,197,-0.169063463807106,6057,1
5,462,292,-0.1753327548503875,9929,1
6,451,216,-0.2203396111726761,10652,1
7,435,178,-0.2309813350439071,5791,1
8,422,155,-0.2367728650569915,6036,1
9,428,298,-0.1726685911417007,9612,1
10,425,220,-0.2232332527637481,0,1
11,413,175,-0.2305457442998886,5759,1
12,403,149,-0.2381084561347961,6075,1
13,394,292,-0.1650764048099517,0,1
14,389,218,-0.2056906223297119,2786,1
15,385,176,-0.2090306580066681,0,1
16,381,152,-0.2126631140708923,5706,1
17,366,277,-0.1575391739606857,2771,1
18,367,222,-0.1903449147939682,2724,1
19,371,192,-0.1987272202968597,2806,1
20,374,173,-0.206203356385231,0,1
0,387,362,7.492396321140404e-07,8523,1
1,427,319,-0.06365717202425,8939,1
2,423,274,-0.1102764829993248,9299,1
3,395,246,-0.1338841617107391,4889,1
4,370,222,-0.1556308716535568,4780,1
5,384,310,-0.1992578506469726,0,1
6,361,241,-0.2424059957265854,0,1
7,360,207,-0.2442716062068939,4952,1
8,361,181,-0.238157257437706,5074,1
9,350,325,-0.1728369444608688,2667,1
10,328,249,-0.2168653160333633,2566,1
11,335,208,-0.2049802392721176,0,1
12,343,186,-0.1915677040815353,5019,1
13,327,329,-0.1414034068584442,2587,1
14,313,258,-0.1703464984893798,2564,1
15,323,222,-0.159133180975914,2663,1
16,332,198,-0.1477069407701492,5018,1
17,317,326,-0.1120242848992347,2557,1
18,308,272,-0.1265256106853485,2551,1
19,318,244,-0.1227836087346077,2574,1
20,329,225,-0.118672177195549,0,1
0,286,317,-1.689526527570706e-07,5219,1
1,259,283,-0.0103675974532961,3381,1
2,253,244,-0.0227363407611846,3313,1
3,254,212,-0.0281322728842496,5438,1
4,250,190,-0.0328113734722137,5588,1
5,292,238,-0.0763020440936088,3148,1
6,312,183,-0.0845770537853241,3378,1
7,319,160,-0.0727432444691658,5589,1
8,323,144,-0.0608925558626651,5740,1
9,325,249,-0.0693379119038581,3331,1
10,344,184,-0.0789029225707054,5455,1
11,344,159,-0.0636097490787506,5587,1
12,341,147,-0.050051525235176,5683,1
13,349,258,-0.0570353157818317,5035,1
14,365,199,-0.0600843988358974,5556,1
15,361,175,-0.0437812879681587,5659,1
16,353,163,-0.0304342061281204,5653,1
17,361,265,-0.0441276803612709,5136,1
18,367,224,-0.0398453250527381,5383,1
19,362,205,-0.027711322531104,5499,1
20,354,194,-0.016897277906537,5494,1
0,284,333,-2.427935328341846e-07,5160,1
1,257,294,-0.0200539492070674,3355,1
2,257,252,-0.0324733667075634,3166,1
3,275,218,-0.0354193411767482,3234,1
4,293,198,-0.0359025560319423,3366,1
5,295,254,-0.0798946246504783,3144,1
6,318,201,-0.0863500609993934,3386,1
7,323,179,-0.0711773261427879,5499,1
8,324,166,-0.0573341958224773,5520,1
9,328,266,-0.0683652758598327,3362,1
10,348,204,-0.0778886824846267,5366,1
11,345,180,-0.061907161027193,5474,1
12,339,169,-0.0479558780789375,5499,1
13,351,275,-0.052779197692871,5175,1
14,365,217,-0.0574779398739337,5423,1
15,359,195,-0.0426244065165519,5554,1
16,350,186,-0.0309288762509822,5494,1
17,363,281,-0.0373846665024757,5172,1
18,363,241,-0.0376076065003871,5086,1
19,355,223,-0.0297110639512538,5283,1
20,346,214,-0.0222275201231241,5292,1
0,322,297,-3.890057485023135e-07,4532,1
1,293,260,-0.0109844338148832,3108,1
2,287,216,-0.0219323150813579,2854,1
3,301,179,-0.0230424869805574,2884,1
4,314,155,-0.0253620259463787,0,1
5,313,207,-0.088879570364952,2960,1
6,312,144,-0.0995023399591445,0,1
7,306,113,-0.0902538895606994,5272,1
8,301,94,-0.0803925916552543,5461,1
9,345,212,-0.0788780152797699,0,1
10,342,136,-0.0945762991905212,5326,1
11,329,103,-0.084796167910099,5440,1
12,315,84,-0.0752810016274452,5578,1
13,368,216,-0.0615334510803222,4684,1
14,359,148,-0.073866419494152,5055,1
15,344,115,-0.0694281458854675,5257,1
16,331,95,-0.0640870183706283,5425,1
17,380,221,-0.041133414953947,4653,1
18,364,172,-0.038737878203392,4896,1
19,348,153,-0.0272836480289697,5168,1
20,336,145,-0.0189186818897724,5344,1
0,297,282,-1.722762164035885e-07,3043,1
1,337,268,0.016060909256339,4633,1
2,357,231,0.0217458847910165,4654,1
3,362,195,0.0274744611233472,4820,1
4,350,168,0.0288525242358446,5025,1
5,365,203,-0.0178171955049037,4741,1
6,362,146,-0.0203530918806791,5006,1
7,354,118,-0.0174262337386608,5216,1
8,347,98,-0.014279275201261,5170,1
9,348,196,-0.0254186131060123,4924,1
10,345,133,-0.0312483720481395,5266,1
11,338,101,-0.0295207798480987,5333,1
12,328,79,-0.0273874998092651,5427,1
13,325,193,-0.0277061965316534,0,1
14,322,136,-0.0321111343801021,0,1
15,319,107,-0.0275373235344886,5618,1
16,316,86,-0.0230679437518119,5545,1
17,295,193,-0.0268137771636247,2815,1
18,298,150,-0.0285767130553722,0,1
19,298,129,-0.0204910729080438,5133,1
20,298,114,-0.0125316679477691,5224,1
0,187,276,3.654545466247328e-08,3708,1
1,174,243,-0.0507925041019916,3717,1
2,198,211,-0.0832384005188942,4676,1
3,234,198,-0.0988818332552909,3209,1
4,258,197,-0.1131633445620536,3313,1
5,202,253,-0.1467223465442657,3245,1
6,248,202,-0.1844033300876617,3261,1
7,271,174,-0.1944463551044464,0,1
8,288,153,-0.198014810681343,5576,1
9,224,273,-0.127644345164299,3353,1
10,273,218,-0.1654888689517974,3400,1
11,291,183,-0.1662053763866424,5479,1
12,301,158,-0.1643555611371994,5458,1
13,244,281,-0.1053308770060539,4917,1
14,287,229,-0.1349458992481231,0,1
15,299,196,-0.1336475908756256,5306,1
16,302,172,-0.1291549056768417,5432,1
17,260,279,-0.0845488682389259,4972,1
18,289,238,-0.108540192246437,5063,1
19,296,212,-0.1119059771299362,5253,1
20,297,194,-0.1112609133124351,5337,1
0,410,238,7.65277775371942e-07,0,1
1,439,206,-0.0281268861144781,8735,1
2,443,161,-0.0534797757863998,8966,1
3,431,121,-0.0688998773694038,9149,1
4,420,94,-0.0826519727706909,0,1
5,414,179,-0.1021493375301361,8952,1
6,411,113,-0.1290813386440277,0,1
7,410,81,-0.1302497088909149,5770,1
8,410,59,-0.1264919489622116,5791,1
9,382,189,-0.0938019752502441,0,1
10,377,117,-0.1209761500358581,0,1
11,383,83,-0.1138106286525726,5508,1
12,391,63,-0.1051500812172889,5676,1
13,357,194,-0.0824816152453422,3005,1
14,354,126,-0.1004717350006103,3113,1
15,366,97,-0.0931490957736969,0,1
16,378,82,-0.0863789990544319,5502,1
17,341,194,-0.0716972798109054,3032,1
18,345,140,-0.0833986699581146,3060,1
19,356,119,-0.080375887453556,3157,1
20,366,106,-0.0760996341705322,5369,1
0,438,226,3.185273271810729e-07,8636,1
1,445,206,-0.0430819131433963,8745,1
2,441,172,-0.0764387175440788,8880,1
3,430,135,-0.1015443131327629,9062,1
4,423,110,-0.1253377646207809,0,1
5,404,186,-0.0915013551712036,0,1
6,396,125,-0.128149077296257,0,1
7,406,93,-0.1427007615566253,5778,1
8,415,73,-0.1480254381895065,0,1
9,382,196,-0.0817470699548721,3124,1
10,378,128,-0.1129853576421737,0,1
11,394,96,-0.1141069754958152,5604,1
12,406,77,-0.1109735965728759,5892,1
13,370,201,-0.0731197521090507,3108,1
14,369,134,-0.09970473498106,3150,1
15,382,108,-0.0975934565067291,5456,1
16,391,93,-0.0908994749188423,5607,1
17,366,200,-0.0674248710274696,3113,1
18,365,150,-0.0833901613950729,3105,1
19,373,130,-0.0815944820642471,3174,1
20,378,117,-0.0763484016060829,0,1
0,324,305,-2.108995289518134e-07,4448,1
1,293,274,-0.046415127813816,2999,1
2,280,238,-0.0945453196763992,2788,1
3,281,206,-0.1221220791339874,2766,1
4,291,173,-0.1507126539945602,2816,1
5,305,243,-0.2149330824613571,2836,1
6,301,179,-0.2553097605705261,2869,1
7,294,142,-0.2536650896072387,5089,1
8,293,114,-0.2487191259860992,5239,1
9,338,246,-0.1938638240098953,0,1
10,337,169,-0.2505916059017181,0,1
11,326,127,-0.2544953525066376,0,1
12,315,100,-0.2562422156333923,0,1
13,364,244,-0.1594590693712234,4618,1
14,354,174,-0.2007760107517242,4936,1
15,339,134,-0.1987351775169372,5306,1
16,326,109,-0.1956361979246139,5452,1
17,380,241,-0.1219758987426757,4571,1
18,367,186,-0.1361008882522583,4828,1
19,355,159,-0.1265910118818283,4993,1
20,343,142,-0.1215780377388,5306,1
0,404,223,8.268661986221559e-07,0,1
1,431,191,-0.0292309634387493,8787,1
2,436,147,-0.0572862960398197,9011,1
3,426,109,-0.0732912719249725,9256,1
4,413,83,-0.0889604613184928,0,1
5,408,163,-0.1229242011904716,0,1
6,404,99,-0.1515812277793884,5603,1
7,404,67,-0.1506398171186447,5789,1
8,405,45,-0.1438678652048111,5884,1
9,376,174,-0.1126657202839851,0,1
10,371,102,-0.1406038105487823,0,1
11,378,70,-0.1282960027456283,5652,1
12,387,52,-0.1146310344338417,5789,1
13,351,178,-0.0978821292519569,3012,1
14,348,114,-0.1129938811063766,3116,1
15,360,85,-0.0983609780669212,5612,1
16,372,69,-0.0861999616026878,5736,1
17,338,179,-0.08371302485466,3042,1
18,339,129,-0.0914584919810295,3062,1
19,350,108,-0.0829115286469459,3147,1
20,359,95,-0.0741776153445243,5619,1
0,177,271,1.488830889684323e-07,3184,1
1,168,243,-0.0575199238955974,8852,1
2,178,221,-0.1068858653306961,9049,1
3,208,200,-0.147243857383728,4896,1
4,239,184,-0.1892549246549606,5633,1
5,182,261,-0.1417453736066818,3166,1
6,233,222,-0.2000341862440109,3094,1
7,267,194,-0.2377528399229049,5598,1
8,291,176,-0.2601907849311828,5506,1
9,209,279,-0.1370214372873306,3198,1
10,253,237,-0.1945187002420425,3156,1
11,284,202,-0.2137738019227981,0,1
12,305,180,-0.2272797673940658,5364,1
13,231,286,-0.1310257315635681,3292,1
14,271,245,-0.1779235899448394,0,1
15,292,214,-0.1774380952119827,0,1
16,305,196,-0.173630028963089,5297,1
17,248,285,-0.1295329928398132,0,1
18,279,254,-0.1550511419773101,0,1
19,292,230,-0.1487904042005539,5148,1
20,299,215,-0.1447104215621948,5219,1
0,492,250,8.909142934498959e-07,9734,1
1,479,216,-0.0362218394875526,0,1
2,447,198,-0.0680927708745002,4942,1
3,417,187,-0.0829986333847045,0,1
4,394,172,-0.0952405482530593,5785,1
5,442,225,-0.1529078334569931,4376,1
6,396,197,-0.1726754605770111,5687,1
7,382,172,-0.1515101641416549,5598,1
8,380,157,-0.1285028159618377,5595,1
9,433,251,-0.1334697753190994,3752,1
10,380,216,-0.1579700261354446,3698,1
11,371,187,-0.1279852390289306,5401,1
12,373,170,-0.0991023257374763,5487,1
13,423,265,-0.1073914244771003,3743,1
14,376,231,-0.1196641772985458,3440,1
15,373,205,-0.090076208114624,3738,1
16,376,189,-0.0654593408107757,5449,1
17,417,274,-0.0819769129157066,3802,1
18,386,243,-0.0880177468061447,3445,1
19,381,222,-0.0737790241837501,3452,1
20,382,209,-0.0590823478996753,3737,1
